canonical_name,total_mentions,model_count,google_name,match_score,google_rating,google_reviews,price_level,business_status,address
Hai Tien Lo,5,3,Hai Tien Lo,100.0,4.3,703,3,OPERATIONAL,"7 Raffles Blvd, Level 3, Singapore 039595"
SaladStop!,5,4,SaladStop!,100.0,4.2,155,,OPERATIONAL,"9 North Buona Vista Drive, #01-16, Tower 1 The Metropolis, Singapore 138588"
Spago Dining Room,5,4,Spago Dining Room,100.0,4.5,2056,4,OPERATIONAL,"10 Bayfront Avenue, Hotel, Tower 2 Level 57, Marina Bay Sands, Singapore 018956"
Yan Ting,5,4,Yan Ting,100.0,4.2,596,3,OPERATIONAL,"29 Tanglin Rd, Floor 1U The St. Regis Singapore, Singapore 247912"
HighHouse,5,2,HighHouse,100.0,4.7,1075,,OPERATIONAL,"1 Raffles Pl, L61-62, Singapore 048616"
Jaggi's Northern Indian Cuisine,5,3,Jaggi's Northern Indian Cuisine,100.0,4.2,2544,2,OPERATIONAL,"36 Race Course Rd, Singapore 218554"
Jigger & Pony,5,3,Jigger & Pony,100.0,4.6,1709,3,OPERATIONAL,"165 Tg Pagar Rd, Amara Hotel, Singapore 088539"
Kafe Utu,5,3,Kafe Utu,100.0,4.6,1667,,OPERATIONAL,"12 Jiak Chuan Rd, Singapore 089265"
Loo's Hainanese Curry Rice,5,2,Loo's Hainanese Curry Rice,100.0,4.2,924,1,OPERATIONAL,"30 Seng Poh Rd, #02-67/68, Singapore 168898"
Morton's The Steakhouse,5,3,"Morton's, The Steakhouse",100.0,4.4,711,4,OPERATIONAL,"5 Raffles Ave., Level 3 Mandarin Oriental, Singapore 039797"
